run,AVDD,corner,temperature,CMRR_DC
run_00,1.7,tt,-40,-6.343e+01
run_01,1.8,tt,-40,-6.048e+01
run_02,1.9,tt,-40,-5.891e+01
run_03,1.7,ss,-40,-7.529e+01
run_04,1.8,ss,-40,-6.525e+01
run_05,1.9,ss,-40,-6.205e+01
run_06,1.7,ff,-40,-5.838e+01
run_07,1.8,ff,-40,-5.701e+01
run_08,1.9,ff,-40,-5.615e+01
run_09,1.7,sf,-40,-6.816e+01
run_10,1.8,sf,-40,-6.005e+01
run_11,1.9,sf,-40,-5.751e+01
run_12,1.7,fs,-40,-6.228e+01
run_13,1.8,fs,-40,-6.066e+01
run_14,1.9,fs,-40,-5.957e+01
run_15,1.7,tt,27,-5.563e+01
run_16,1.8,tt,27,-5.439e+01
run_17,1.9,tt,27,-5.360e+01
run_18,1.7,ss,27,-6.045e+01
run_19,1.8,ss,27,-5.782e+01
run_20,1.9,ss,27,-5.639e+01
run_21,1.7,ff,27,-5.168e+01
run_22,1.8,ff,27,-5.106e+01
run_23,1.9,ff,27,-5.062e+01
run_24,1.7,sf,27,-5.335e+01
run_25,1.8,sf,27,-5.148e+01
run_26,1.9,sf,27,-5.053e+01
run_27,1.7,fs,27,-5.669e+01
run_28,1.8,fs,27,-5.589e+01
run_29,1.9,fs,27,-5.527e+01
run_30,1.7,tt,125,-4.660e+01
run_31,1.8,tt,125,-4.624e+01
run_32,1.9,tt,125,-4.597e+01
run_33,1.7,ss,125,-5.031e+01
run_34,1.8,ss,125,-4.963e+01
run_35,1.9,ss,125,-4.914e+01
run_36,1.7,ff,125,-4.211e+01
run_37,1.8,ff,125,-4.196e+01
run_38,1.9,ff,125,-4.185e+01
run_39,1.7,sf,125,-4.091e+01
run_40,1.8,sf,125,-4.056e+01
run_41,1.9,sf,125,-4.035e+01
run_42,1.7,fs,125,-4.949e+01
run_43,1.8,fs,125,-4.934e+01
run_44,1.9,fs,125,-4.913e+01
