run,AVDD,corner,temperature,rise_slew,fall_slew
run_00,1.7,tt,-40,4.812e+06,3.514e+06
run_01,1.8,tt,-40,5.584e+06,4.119e+06
run_02,1.9,tt,-40,6.333e+06,4.727e+06
run_03,1.7,ss,-40,4.127e+06,3.082e+06
run_04,1.8,ss,-40,4.855e+06,3.644e+06
run_05,1.9,ss,-40,5.568e+06,4.212e+06
run_06,1.7,ff,-40,5.437e+06,3.930e+06
run_07,1.8,ff,-40,6.247e+06,4.578e+06
run_08,1.9,ff,-40,7.025e+06,5.228e+06
run_09,1.7,sf,-40,3.697e+06,3.137e+06
run_10,1.8,sf,-40,4.412e+06,3.734e+06
run_11,1.9,sf,-40,5.133e+06,4.340e+06
run_12,1.7,fs,-40,5.900e+06,3.650e+06
run_13,1.8,fs,-40,6.713e+06,4.266e+06
run_14,1.9,fs,-40,7.482e+06,4.887e+06
run_15,1.7,tt,27,4.350e+06,2.947e+06
run_16,1.8,tt,27,4.969e+06,3.424e+06
run_17,1.9,tt,27,5.574e+06,3.909e+06
run_18,1.7,ss,27,3.871e+06,2.633e+06
run_19,1.8,ss,27,4.468e+06,3.077e+06
run_20,1.9,ss,27,5.057e+06,3.532e+06
run_21,1.7,ff,27,4.732e+06,3.240e+06
run_22,1.8,ff,27,5.360e+06,3.744e+06
run_23,1.9,ff,27,5.968e+06,4.254e+06
run_24,1.7,sf,27,3.548e+06,2.784e+06
run_25,1.8,sf,27,4.148e+06,3.261e+06
run_26,1.9,sf,27,4.748e+06,3.745e+06
run_27,1.7,fs,27,5.003e+06,2.944e+06
run_28,1.8,fs,27,5.630e+06,3.420e+06
run_29,1.9,fs,27,6.226e+06,3.906e+06
run_30,1.7,tt,125,3.644e+06,2.346e+06
run_31,1.8,tt,125,4.060e+06,2.687e+06
run_32,1.9,tt,125,4.459e+06,3.035e+06
run_33,1.7,ss,125,3.444e+06,2.147e+06
run_34,1.8,ss,125,3.871e+06,2.473e+06
run_35,1.9,ss,125,4.289e+06,2.807e+06
run_36,1.7,ff,125,3.725e+06,2.509e+06
run_37,1.8,ff,125,4.123e+06,2.860e+06
run_38,1.9,ff,125,4.498e+06,3.215e+06
run_39,1.7,sf,125,3.273e+06,2.355e+06
run_40,1.8,sf,125,3.708e+06,2.704e+06
run_41,1.9,sf,125,4.136e+06,3.059e+06
run_42,1.7,fs,125,3.737e+06,2.214e+06
run_43,1.8,fs,125,4.115e+06,2.540e+06
run_44,1.9,fs,125,4.464e+06,2.872e+06
