claim_id,claim_text,evidence_notebook,evidence_cell_tag,evidence_artefact,verification_method
C1,"NeuroSAR matches SKY130 ngspice DAC settling to R² ≥ 0.99 over 1000 random conversions",07_SPICE_Validation.ipynb,run_validation,data/exports/spice_validation.json,"assert R2_vdac >= 0.99 in metrics block"
C2,"NeuroSAR matches comparator regeneration waveforms to R² ≥ 0.98",07_SPICE_Validation.ipynb,run_validation,data/exports/spice_validation.json,"assert R2_vcomp_diff >= 0.98"
C3,"NeuroSAR inference is ≥3000× faster per conversion than ngspice transient",07_SPICE_Validation.ipynb,speedup_block,stdout of notebook,"print Speedup x from notebook 07 §3"
C4,"NeuroSAR reproduces metastability dwell-time tail (P99) within 10% of 10k-trial ngspice MC",07_SPICE_Validation.ipynb,metastability_monte_carlo,data/exports/metastability_mc.json,"assert tail_p99_rel_err < 0.10"
C5,"NeuroSAR output codes agree with SPICE to ≥99% match rate",07_SPICE_Validation.ipynb,run_validation,data/exports/spice_validation.json,"assert code_match_rate >= 0.99"
C6,"NeuroSAR meets the neural-recorder implant target (10 bit / 1 MS/s / ≤10 pJ / ENOB≥9 / P_meta≤1e-9)",08_Biomedical_Case_Study.ipynb,search_for_target,data/exports/biomedical_results.json,"result['Neural-recorder front-end'] has meets_spec all True"
C7,"NeuroSAR meets the pacemaker-telemetry target (10 bit / 0.2 MS/s / ≤5 pJ / ENOB≥9.2 / P_meta≤1e-10)",08_Biomedical_Case_Study.ipynb,search_for_target,data/exports/biomedical_results.json,"result['Pacemaker telemetry AFE'] has meets_spec all True"
C8,"NeuroSAR meets the wearable ECG/PPG target (12 bit / 10 kS/s / ≤50 pJ / ENOB≥11 / P_meta≤1e-8)",08_Biomedical_Case_Study.ipynb,search_for_target,data/exports/biomedical_results.json,"result['Wearable ECG / PPG'] has meets_spec all True"
C9,"NeuroSAR meets the cochlear-implant target (8 bit / 25 kS/s / ≤2 pJ / ENOB≥7.5 / P_meta≤1e-7)",08_Biomedical_Case_Study.ipynb,search_for_target,data/exports/biomedical_results.json,"result['Cochlear implant stimulator ADC'] has meets_spec all True"
C10,"Walden FoM of NeuroSAR-optimised implantable SARs lands on or below published SOTA (Harpe/Muller/Nurmi/Zhang)",08_Biomedical_Case_Study.ipynb,fom_vs_sota_plot,assets/figures/biomedical_fom_vs_sota.png,"visual check; numeric dump in data/exports/biomedical_results.json"
C11,"Physics residuals (KCL, charge conservation, comparator ODE) are computed via PyTorch autograd and enforced exactly",src/losses.py,"n/a — source",tests/test_losses.py,"pytest tests/test_losses.py::test_residual_autograd"
C12,"46 unit tests cover tensor shapes, dataset generation, physics residuals, and inference",tests/,"n/a — source",tests/ directory,"pytest tests/ -v"
C13,"Full reproduction runs end-to-end in <20 min on laptop CPU",REPRODUCIBILITY.md,"n/a — make target",Makefile reproduce,"time make reproduce; assert <1200s"
